Date,MonthDay,FL,Race
2008-03-27,27-Mar,3,F
2008-03-28,28-Mar,3,F
2008-03-29,29-Mar,3,F
2008-03-30,30-Mar,3,F
2008-03-31,31-Mar,3,F
2008-04-01,1-Apr,3,LF
2008-04-02,2-Apr,3,LF
2008-04-03,3-Apr,3,LF
2008-04-04,4-Apr,3,LF
2008-04-05,5-Apr,3,LF
2008-04-06,6-Apr,3,LF
2008-04-07,7-Apr,3,LF
2008-04-08,8-Apr,3,LF
2008-04-09,9-Apr,3,LF
2008-04-10,10-Apr,3,LF
2008-04-11,11-Apr,3,LF
2008-04-12,12-Apr,3,LF
2008-04-13,13-Apr,3,LF
2008-04-14,14-Apr,3,LF
2008-04-15,15-Apr,3,LF
2008-04-16,16-Apr,3,LF
2008-04-17,17-Apr,3,LF
2008-04-18,18-Apr,3,LF
2008-04-19,19-Apr,3,LF
2008-04-20,20-Apr,3,LF
2008-04-21,21-Apr,3,LF
2008-04-22,22-Apr,3,LF
2008-04-23,23-Apr,3,LF
2008-04-24,24-Apr,3,LF
2008-04-25,25-Apr,3,LF
2008-04-26,26-Apr,3,LF
2008-04-27,27-Apr,3,LF
2008-04-28,28-Apr,3,LF
2008-04-29,29-Apr,3,LF
2008-04-30,30-Apr,3,LF
2008-05-01,1-May,3,LF
2008-05-02,2-May,3,LF
2008-05-03,3-May,3,LF
2008-05-04,4-May,3,LF
2008-05-05,5-May,3,LF
2008-05-06,6-May,3,LF
2008-05-07,7-May,3,LF
2008-05-08,8-May,3,LF
2008-05-09,9-May,3,LF
2008-05-10,10-May,3,LF
2008-05-11,11-May,3,LF
2008-05-12,12-May,3,LF
2008-05-13,13-May,3,LF
2008-05-14,14-May,3,LF
2008-05-15,15-May,3,LF
2008-05-16,16-May,3,LF
2008-05-17,17-May,3,LF
2008-05-18,18-May,3,LF
2008-05-19,19-May,3,LF
2008-05-20,20-May,3,LF
2008-05-21,21-May,3,LF
2008-05-22,22-May,3,LF
2008-05-23,23-May,3,LF
2008-05-24,24-May,3,LF
2008-05-25,25-May,3,LF
2008-05-26,26-May,3,LF
2008-05-27,27-May,3,LF
2008-05-28,28-May,3,LF
2008-05-29,29-May,3,LF
2008-05-30,30-May,3,LF
2008-05-31,31-May,3,LF
2008-06-01,1-Jun,3,LF
2008-06-02,2-Jun,3,LF
2008-06-03,3-Jun,3,LF
2008-06-04,4-Jun,3,LF
2008-06-05,5-Jun,3,LF
2008-06-06,6-Jun,3,LF
2008-06-07,7-Jun,3,LF
2008-06-08,8-Jun,3,LF
2008-06-09,9-Jun,3,LF
2008-06-10,10-Jun,3,LF
2008-06-11,11-Jun,3,LF
2008-06-12,12-Jun,3,LF
2008-06-13,13-Jun,3,LF
2008-06-14,14-Jun,3,LF
2008-06-15,15-Jun,3,LF
2008-06-16,16-Jun,3,LF
2008-06-17,17-Jun,3,LF
2008-06-18,18-Jun,3,LF
2008-06-19,19-Jun,3,LF
2008-06-20,20-Jun,3,LF
2008-06-21,21-Jun,3,LF
2008-06-22,22-Jun,3,LF
2008-06-23,23-Jun,3,LF
2008-06-24,24-Jun,3,LF
2008-06-25,25-Jun,3,LF
2008-06-26,26-Jun,3,LF
2008-06-27,27-Jun,3,LF
2008-06-28,28-Jun,3,LF
2008-06-29,29-Jun,3,LF
2008-06-30,30-Jun,3,LF
2008-07-01,1-Jul,3,W
2008-07-02,2-Jul,3,W
2008-07-03,3-Jul,3,W
2008-07-04,4-Jul,3,W
2008-07-05,5-Jul,3,W
2008-07-06,6-Jul,3,W
2008-07-07,7-Jul,3,W
2008-07-08,8-Jul,3,W
2008-07-09,9-Jul,3,W
2008-07-10,10-Jul,3,W
2008-07-11,11-Jul,3,W
2008-07-12,12-Jul,3,W
2008-07-13,13-Jul,3,W
2008-07-14,14-Jul,3,W
2008-07-15,15-Jul,3,W
2008-07-16,16-Jul,3,W
2008-07-17,17-Jul,3,W
2008-07-18,18-Jul,3,W
2008-07-19,19-Jul,3,W
2008-07-20,20-Jul,3,W
2008-07-21,21-Jul,3,W
2008-07-22,22-Jul,3,W
2008-07-23,23-Jul,3,W
2008-07-24,24-Jul,3,W
2008-07-25,25-Jul,3,W
2008-07-26,26-Jul,3,W
2008-07-27,27-Jul,3,W
2008-07-28,28-Jul,3,W
2008-07-29,29-Jul,3,W
2008-07-30,30-Jul,3,W
2008-07-31,31-Jul,3,W
2008-08-01,1-Aug,3,W
2008-08-02,2-Aug,3,W
2008-08-03,3-Aug,3,W
2008-08-04,4-Aug,3,W
2008-08-05,5-Aug,3,W
2008-08-06,6-Aug,3,W
2008-08-07,7-Aug,3,W
2008-08-08,8-Aug,3,W
2008-08-09,9-Aug,3,W
2008-08-10,10-Aug,3,W
2008-08-11,11-Aug,3,W
2008-08-12,12-Aug,3,W
2008-08-13,13-Aug,3,W
2008-08-14,14-Aug,3,W
2008-08-15,15-Aug,3,W
2008-08-16,16-Aug,3,W
2008-08-17,17-Aug,3,W
2008-08-18,18-Aug,3,W
2008-08-19,19-Aug,3,W
2008-08-20,20-Aug,3,W
2008-08-21,21-Aug,3,W
2008-08-22,22-Aug,3,W
2008-08-23,23-Aug,3,W
2008-08-24,24-Aug,3,W
2008-08-25,25-Aug,3,W
2008-08-26,26-Aug,3,W
2008-08-27,27-Aug,3,W
2008-08-28,28-Aug,3,W
2008-08-29,29-Aug,3,W
2008-08-30,30-Aug,3,W
2008-08-31,31-Aug,3,W
2008-09-01,1-Sep,3,W
2008-09-02,2-Sep,3,W
2008-09-03,3-Sep,3,W
2008-09-04,4-Sep,3,W
2008-09-05,5-Sep,3,W
2008-09-06,6-Sep,3,W
2008-09-07,7-Sep,3,W
2008-09-08,8-Sep,3,W
2008-09-09,9-Sep,3,W
2008-09-10,10-Sep,3,W
2008-09-11,11-Sep,3,W
2008-09-12,12-Sep,3,W
2008-09-13,13-Sep,3,W
2008-09-14,14-Sep,3,W
2008-09-15,15-Sep,3,W
2008-09-16,16-Sep,3,W
2008-09-17,17-Sep,3,W
2008-09-18,18-Sep,3,W
2008-09-19,19-Sep,3,W
2008-09-20,20-Sep,3,W
2008-09-21,21-Sep,3,W
2008-09-22,22-Sep,3,W
2008-09-23,23-Sep,3,W
2008-09-24,24-Sep,3,W
2008-09-25,25-Sep,3,W
2008-09-26,26-Sep,3,W
2008-09-27,27-Sep,3,W
2008-09-28,28-Sep,3,W
2008-09-29,29-Sep,3,W
2008-09-30,30-Sep,3,W
2008-10-01,1-Oct,3,W
2008-10-02,2-Oct,3,W
2008-10-03,3-Oct,3,W
2008-10-04,4-Oct,3,W
2008-10-05,5-Oct,3,W
2008-10-06,6-Oct,3,W
2008-10-07,7-Oct,3,W
2008-10-08,8-Oct,3,W
2008-10-09,9-Oct,3,W
2008-10-10,10-Oct,3,W
2008-10-11,11-Oct,3,W
2008-10-12,12-Oct,3,S
2008-10-13,13-Oct,3,S
2008-10-14,14-Oct,3,S
2008-10-15,15-Oct,3,S
2008-10-16,16-Oct,3,S
2008-10-17,17-Oct,3,S
2008-10-18,18-Oct,3,S
2008-10-19,19-Oct,3,S
2008-10-20,20-Oct,3,S
2008-10-21,21-Oct,3,S
2008-10-22,22-Oct,3,S
2008-10-23,23-Oct,3,S
2008-10-24,24-Oct,3,S
2008-10-25,25-Oct,3,S
2008-10-26,26-Oct,3,S
2008-10-27,27-Oct,3,S
2008-10-28,28-Oct,3,S
2008-10-29,29-Oct,3,S
2008-10-30,30-Oct,3,S
2008-10-31,31-Oct,3,S
2008-11-01,1-Nov,3,S
2008-11-02,2-Nov,3,S
2008-11-03,3-Nov,3,S
2008-11-04,4-Nov,3,S
2008-11-05,5-Nov,3,S
2008-11-06,6-Nov,3,S
2008-11-07,7-Nov,3,S
2008-11-08,8-Nov,3,S
2008-11-09,9-Nov,3,S
2008-11-10,10-Nov,3,S
2008-11-11,11-Nov,3,S
2008-11-12,12-Nov,3,S
2008-11-13,13-Nov,3,S
2008-11-14,14-Nov,3,S
2008-11-15,15-Nov,3,S
2008-11-16,16-Nov,3,S
2008-11-17,17-Nov,3,S
2008-11-18,18-Nov,3,S
2008-11-19,19-Nov,3,S
2008-11-20,20-Nov,3,S
2008-11-21,21-Nov,3,S
2008-11-22,22-Nov,3,S
2008-11-23,23-Nov,3,S
2008-11-24,24-Nov,3,S
2008-11-25,25-Nov,3,S
2008-11-26,26-Nov,3,S
2008-11-27,27-Nov,3,S
2008-11-28,28-Nov,3,S
2008-11-29,29-Nov,3,S
2008-11-30,30-Nov,3,S
2008-12-01,1-Dec,3,F
2008-12-02,2-Dec,3,F
2008-12-03,3-Dec,3,F
2008-12-04,4-Dec,3,F
2008-12-05,5-Dec,3,F
2008-12-06,6-Dec,3,F
2008-12-07,7-Dec,3,F
2008-12-08,8-Dec,3,F
2008-12-09,9-Dec,3,F
2008-12-10,10-Dec,3,F
2008-12-11,11-Dec,3,F
2008-12-12,12-Dec,3,F
2008-12-13,13-Dec,3,F
2008-12-14,14-Dec,3,F
2008-12-15,15-Dec,3,F
2008-12-16,16-Dec,3,F
2008-12-17,17-Dec,3,F
2008-12-18,18-Dec,3,F
2008-12-19,19-Dec,3,F
2008-12-20,20-Dec,3,F
2008-12-21,21-Dec,3,F
2008-12-22,22-Dec,3,F
2008-12-23,23-Dec,3,F
2008-12-24,24-Dec,3,F
2008-12-25,25-Dec,3,F
2008-12-26,26-Dec,3,F
2008-12-27,27-Dec,3,F
2008-12-28,28-Dec,3,F
2008-12-29,29-Dec,3,F
2008-12-30,30-Dec,3,F
2008-12-31,31-Dec,3,F
2008-01-01,1-Jan,4,F
2008-01-02,2-Jan,4,F
2008-01-03,3-Jan,4,F
2008-01-04,4-Jan,4,F
2008-01-05,5-Jan,4,F
2008-01-06,6-Jan,4,F
2008-01-07,7-Jan,4,F
2008-01-08,8-Jan,4,F
2008-01-09,9-Jan,4,F
2008-01-10,10-Jan,4,F
2008-01-11,11-Jan,4,F
2008-01-12,12-Jan,4,F
2008-01-13,13-Jan,4,F
2008-01-14,14-Jan,4,F
2008-01-15,15-Jan,4,F
2008-01-16,16-Jan,4,F
2008-01-17,17-Jan,4,F
2008-01-18,18-Jan,4,F
2008-01-19,19-Jan,4,F
2008-01-20,20-Jan,4,F
2008-01-21,21-Jan,4,F
2008-01-22,22-Jan,4,F
2008-01-23,23-Jan,4,F
2008-01-24,24-Jan,4,F
2008-01-25,25-Jan,4,F
2008-01-26,26-Jan,4,F
2008-01-27,27-Jan,4,F
2008-01-28,28-Jan,4,F
2008-01-29,29-Jan,4,F
2008-01-30,30-Jan,4,F
2008-01-31,31-Jan,4,F
2008-02-01,1-Feb,4,F
2008-02-02,2-Feb,4,F
2008-02-03,3-Feb,4,F
2008-02-04,4-Feb,4,F
2008-02-05,5-Feb,4,F
2008-02-06,6-Feb,4,F
2008-02-07,7-Feb,4,F
2008-02-08,8-Feb,4,F
2008-02-09,9-Feb,4,F
2008-02-10,10-Feb,4,F
2008-02-11,11-Feb,4,F
2008-02-12,12-Feb,4,F
2008-02-13,13-Feb,4,F
2008-02-14,14-Feb,4,F
2008-02-15,15-Feb,4,F
2008-02-16,16-Feb,4,F
2008-02-17,17-Feb,4,F
2008-02-18,18-Feb,4,F
2008-02-19,19-Feb,4,F
2008-02-20,20-Feb,4,F
2008-02-21,21-Feb,4,F
2008-02-22,22-Feb,4,F
2008-02-23,23-Feb,4,F
2008-02-24,24-Feb,4,F
2008-02-25,25-Feb,4,F
2008-02-26,26-Feb,4,F
2008-02-27,27-Feb,4,F
2008-02-28,28-Feb,4,F
2008-02-29,29-Feb,4,F
2008-03-01,1-Mar,4,F
2008-03-02,2-Mar,4,F
2008-03-03,3-Mar,4,F
2008-03-04,4-Mar,4,F
2008-03-05,5-Mar,4,F
2008-03-06,6-Mar,4,F
2008-03-07,7-Mar,4,F
2008-03-08,8-Mar,4,F
2008-03-09,9-Mar,4,F
2008-03-10,10-Mar,4,F
2008-03-11,11-Mar,4,F
2008-03-12,12-Mar,4,F
2008-03-13,13-Mar,4,F
2008-03-14,14-Mar,4,F
2008-03-15,15-Mar,4,F
2008-03-16,16-Mar,4,F
2008-03-17,17-Mar,4,F
2008-03-18,18-Mar,4,F
2008-03-19,19-Mar,4,F
2008-03-20,20-Mar,4,F
2008-03-21,21-Mar,4,F
2008-03-22,22-Mar,4,F
2008-03-23,23-Mar,4,F
2008-03-24,24-Mar,4,F
2008-03-25,25-Mar,4,F
2008-03-26,26-Mar,4,F
2008-03-27,27-Mar,4,F
2008-03-28,28-Mar,4,F
2008-03-29,29-Mar,4,F
2008-03-30,30-Mar,4,F
2008-03-31,31-Mar,4,F
2008-04-01,1-Apr,4,LF
2008-04-02,2-Apr,4,LF
2008-04-03,3-Apr,4,LF
2008-04-04,4-Apr,4,LF
2008-04-05,5-Apr,4,LF
2008-04-06,6-Apr,4,LF
2008-04-07,7-Apr,4,LF
2008-04-08,8-Apr,4,LF
2008-04-09,9-Apr,4,LF
2008-04-10,10-Apr,4,LF
2008-04-11,11-Apr,4,LF
2008-04-12,12-Apr,4,LF
2008-04-13,13-Apr,4,LF
2008-04-14,14-Apr,4,LF
2008-04-15,15-Apr,4,LF
2008-04-16,16-Apr,4,LF
2008-04-17,17-Apr,4,LF
2008-04-18,18-Apr,4,LF
2008-04-19,19-Apr,4,LF
2008-04-20,20-Apr,4,LF
2008-04-21,21-Apr,4,LF
2008-04-22,22-Apr,4,LF
2008-04-23,23-Apr,4,LF
2008-04-24,24-Apr,4,LF
2008-04-25,25-Apr,4,LF
2008-04-26,26-Apr,4,LF
2008-04-27,27-Apr,4,LF
2008-04-28,28-Apr,4,LF
2008-04-29,29-Apr,4,LF
2008-04-30,30-Apr,4,LF
2008-05-01,1-May,4,LF
2008-05-02,2-May,4,LF
2008-05-03,3-May,4,LF
2008-05-04,4-May,4,LF
2008-05-05,5-May,4,LF
2008-05-06,6-May,4,LF
2008-05-07,7-May,4,LF
2008-05-08,8-May,4,LF
2008-05-09,9-May,4,LF
2008-05-10,10-May,4,LF
2008-05-11,11-May,4,LF
2008-05-12,12-May,4,LF
2008-05-13,13-May,4,LF
2008-05-14,14-May,4,LF
2008-05-15,15-May,4,LF
2008-05-16,16-May,4,LF
2008-05-17,17-May,4,LF
2008-05-18,18-May,4,LF
2008-05-19,19-May,4,LF
2008-05-20,20-May,4,LF
2008-05-21,21-May,4,LF
2008-05-22,22-May,4,LF
2008-05-23,23-May,4,LF
2008-05-24,24-May,4,LF
2008-05-25,25-May,4,LF
2008-05-26,26-May,4,LF
2008-05-27,27-May,4,LF
2008-05-28,28-May,4,LF
2008-05-29,29-May,4,LF
2008-05-30,30-May,4,LF
2008-05-31,31-May,4,LF
2008-06-01,1-Jun,4,LF
2008-06-02,2-Jun,4,LF
2008-06-03,3-Jun,4,LF
2008-06-04,4-Jun,4,LF
2008-06-05,5-Jun,4,LF
2008-06-06,6-Jun,4,LF
2008-06-07,7-Jun,4,LF
2008-06-08,8-Jun,4,LF
2008-06-09,9-Jun,4,LF
2008-06-10,10-Jun,4,LF
2008-06-11,11-Jun,4,LF
2008-06-12,12-Jun,4,LF
2008-06-13,13-Jun,4,LF
2008-06-14,14-Jun,4,LF
2008-06-15,15-Jun,4,LF
2008-06-16,16-Jun,4,LF
2008-06-17,17-Jun,4,LF
2008-06-18,18-Jun,4,LF
2008-06-19,19-Jun,4,LF
2008-06-20,20-Jun,4,LF
2008-06-21,21-Jun,4,LF
2008-06-22,22-Jun,4,LF
2008-06-23,23-Jun,4,LF
2008-06-24,24-Jun,4,LF
2008-06-25,25-Jun,4,LF
2008-06-26,26-Jun,4,LF
2008-06-27,27-Jun,4,LF
2008-06-28,28-Jun,4,LF
2008-06-29,29-Jun,4,LF
2008-06-30,30-Jun,4,LF
2008-07-01,1-Jul,4,W
2008-07-02,2-Jul,4,W
2008-07-03,3-Jul,4,W
2008-07-04,4-Jul,4,W
2008-07-05,5-Jul,4,W
2008-07-06,6-Jul,4,W
2008-07-07,7-Jul,4,W
2008-07-08,8-Jul,4,W
2008-07-09,9-Jul,4,W
2008-07-10,10-Jul,4,W
2008-07-11,11-Jul,4,W
2008-07-12,12-Jul,4,W
2008-07-13,13-Jul,4,W
2008-07-14,14-Jul,4,W
2008-07-15,15-Jul,4,W
2008-07-16,16-Jul,4,W
2008-07-17,17-Jul,4,W
2008-07-18,18-Jul,4,W
2008-07-19,19-Jul,4,W
2008-07-20,20-Jul,4,W
2008-07-21,21-Jul,4,W
2008-07-22,22-Jul,4,W
2008-07-23,23-Jul,4,W
2008-07-24,24-Jul,4,W
2008-07-25,25-Jul,4,W
2008-07-26,26-Jul,4,W
2008-07-27,27-Jul,4,W
2008-07-28,28-Jul,4,W
2008-07-29,29-Jul,4,W
2008-07-30,30-Jul,4,W
2008-07-31,31-Jul,4,W
2008-08-01,1-Aug,4,W
2008-08-02,2-Aug,4,W
2008-08-03,3-Aug,4,W
2008-08-04,4-Aug,4,W
2008-08-05,5-Aug,4,W
2008-08-06,6-Aug,4,W
2008-08-07,7-Aug,4,W
2008-08-08,8-Aug,4,W
2008-08-09,9-Aug,4,W
2008-08-10,10-Aug,4,W
2008-08-11,11-Aug,4,W
2008-08-12,12-Aug,4,W
2008-08-13,13-Aug,4,W
2008-08-14,14-Aug,4,W
2008-08-15,15-Aug,4,W
2008-08-16,16-Aug,4,W
2008-08-17,17-Aug,4,W
2008-08-18,18-Aug,4,W
2008-08-19,19-Aug,4,W
2008-08-20,20-Aug,4,W
2008-08-21,21-Aug,4,W
2008-08-22,22-Aug,4,W
2008-08-23,23-Aug,4,W
2008-08-24,24-Aug,4,W
2008-08-25,25-Aug,4,W
2008-08-26,26-Aug,4,W
2008-08-27,27-Aug,4,W
2008-08-28,28-Aug,4,W
2008-08-29,29-Aug,4,W
2008-08-30,30-Aug,4,W
2008-08-31,31-Aug,4,W
2008-09-01,1-Sep,4,W
2008-09-02,2-Sep,4,W
2008-09-03,3-Sep,4,W
2008-09-04,4-Sep,4,W
2008-09-05,5-Sep,4,W
2008-09-06,6-Sep,4,W
2008-09-07,7-Sep,4,W
2008-09-08,8-Sep,4,W
2008-09-09,9-Sep,4,W
2008-09-10,10-Sep,4,W
2008-09-11,11-Sep,4,W
2008-09-12,12-Sep,4,W
2008-09-13,13-Sep,4,W
2008-09-14,14-Sep,4,W
2008-09-15,15-Sep,4,W
2008-09-16,16-Sep,4,W
2008-09-17,17-Sep,4,W
2008-09-18,18-Sep,4,W
2008-09-19,19-Sep,4,W
2008-09-20,20-Sep,4,W
2008-09-21,21-Sep,4,W
2008-09-22,22-Sep,4,W
2008-09-23,23-Sep,4,W
2008-09-24,24-Sep,4,W
2008-09-25,25-Sep,4,W
2008-09-26,26-Sep,4,W
2008-09-27,27-Sep,4,W
2008-09-28,28-Sep,4,W
2008-09-29,29-Sep,4,W
2008-09-30,30-Sep,4,W
2008-10-01,1-Oct,4,W
2008-10-02,2-Oct,4,W
2008-10-03,3-Oct,4,W
2008-10-04,4-Oct,4,W
2008-10-05,5-Oct,4,W
2008-10-06,6-Oct,4,W
2008-10-07,7-Oct,4,W
2008-10-08,8-Oct,4,W
2008-10-09,9-Oct,4,W
2008-10-10,10-Oct,4,W
2008-10-11,11-Oct,4,W
2008-10-12,12-Oct,4,S
2008-10-13,13-Oct,4,S
2008-10-14,14-Oct,4,S
2008-10-15,15-Oct,4,S
2008-10-16,16-Oct,4,S
2008-10-17,17-Oct,4,S
2008-10-18,18-Oct,4,S
2008-10-19,19-Oct,4,S
2008-10-20,20-Oct,4,S
2008-10-21,21-Oct,4,S
2008-10-22,22-Oct,4,S
2008-10-23,23-Oct,4,S
2008-10-24,24-Oct,4,S
2008-10-25,25-Oct,4,S
2008-10-26,26-Oct,4,S
2008-10-27,27-Oct,4,S
2008-10-28,28-Oct,4,S
2008-10-29,29-Oct,4,S
2008-10-30,30-Oct,4,S
2008-10-31,31-Oct,4,S
2008-11-01,1-Nov,4,S
2008-11-02,2-Nov,4,S
2008-11-03,3-Nov,4,S
2008-11-04,4-Nov,4,S
2008-11-05,5-Nov,4,S
2008-11-06,6-Nov,4,S
2008-11-07,7-Nov,4,S
2008-11-08,8-Nov,4,S
2008-11-09,9-Nov,4,S
2008-11-10,10-Nov,4,S
2008-11-11,11-Nov,4,S
2008-11-12,12-Nov,4,S
2008-11-13,13-Nov,4,S
2008-11-14,14-Nov,4,S
2008-11-15,15-Nov,4,S
2008-11-16,16-Nov,4,S
2008-11-17,17-Nov,4,S
2008-11-18,18-Nov,4,S
2008-11-19,19-Nov,4,S
2008-11-20,20-Nov,4,S
2008-11-21,21-Nov,4,S
2008-11-22,22-Nov,4,S
2008-11-23,23-Nov,4,S
2008-11-24,24-Nov,4,S
2008-11-25,25-Nov,4,S
2008-11-26,26-Nov,4,S
2008-11-27,27-Nov,4,S
2008-11-28,28-Nov,4,S
2008-11-29,29-Nov,4,S
2008-11-30,30-Nov,4,S
2008-12-01,1-Dec,4,F
2008-12-02,2-Dec,4,F
2008-12-03,3-Dec,4,F
2008-12-04,4-Dec,4,F
2008-12-05,5-Dec,4,F
2008-12-06,6-Dec,4,F
2008-12-07,7-Dec,4,F
2008-12-08,8-Dec,4,F
2008-12-09,9-Dec,4,F
2008-12-10,10-Dec,4,F
2008-12-11,11-Dec,4,F
2008-12-12,12-Dec,4,F
2008-12-13,13-Dec,4,F
2008-12-14,14-Dec,4,F
2008-12-15,15-Dec,4,F
2008-12-16,16-Dec,4,F
2008-12-17,17-Dec,4,F
2008-12-18,18-Dec,4,F
2008-12-19,19-Dec,4,F
2008-12-20,20-Dec,4,F
2008-12-21,21-Dec,4,F
2008-12-22,22-Dec,4,F
2008-12-23,23-Dec,4,F
2008-12-24,24-Dec,4,F
2008-12-25,25-Dec,4,F
2008-12-26,26-Dec,4,F
2008-12-27,27-Dec,4,F
2008-12-28,28-Dec,4,F
2008-12-29,29-Dec,4,F
2008-12-30,30-Dec,4,F
2008-12-31,31-Dec,4,F
2008-01-01,1-Jan,5,F
2008-01-02,2-Jan,5,F
2008-01-03,3-Jan,5,F
2008-01-04,4-Jan,5,F
2008-01-05,5-Jan,5,F
2008-01-06,6-Jan,5,F
2008-01-07,7-Jan,5,F
2008-01-08,8-Jan,5,F
2008-01-09,9-Jan,5,F
2008-01-10,10-Jan,5,F
2008-01-11,11-Jan,5,F
2008-01-12,12-Jan,5,F
2008-01-13,13-Jan,5,F
2008-01-14,14-Jan,5,F
2008-01-15,15-Jan,5,F
2008-01-16,16-Jan,5,F
2008-01-17,17-Jan,5,F
2008-01-18,18-Jan,5,F
2008-01-19,19-Jan,5,F
2008-01-20,20-Jan,5,F
2008-01-21,21-Jan,5,F
2008-01-22,22-Jan,5,F
2008-01-23,23-Jan,5,F
2008-01-24,24-Jan,5,F
2008-01-25,25-Jan,5,F
2008-01-26,26-Jan,5,F
2008-01-27,27-Jan,5,F
2008-01-28,28-Jan,5,F
2008-01-29,29-Jan,5,F
2008-01-30,30-Jan,5,F
2008-01-31,31-Jan,5,F
2008-02-01,1-Feb,5,F
2008-02-02,2-Feb,5,F
2008-02-03,3-Feb,5,F
2008-02-04,4-Feb,5,F
2008-02-05,5-Feb,5,F
2008-02-06,6-Feb,5,F
2008-02-07,7-Feb,5,F
2008-02-08,8-Feb,5,F
2008-02-09,9-Feb,5,F
2008-02-10,10-Feb,5,F
2008-02-11,11-Feb,5,F
2008-02-12,12-Feb,5,F
2008-02-13,13-Feb,5,F
2008-02-14,14-Feb,5,F
2008-02-15,15-Feb,5,F
2008-02-16,16-Feb,5,F
2008-02-17,17-Feb,5,F
2008-02-18,18-Feb,5,F
2008-02-19,19-Feb,5,F
2008-02-20,20-Feb,5,F
2008-02-21,21-Feb,5,F
2008-02-22,22-Feb,5,F
2008-02-23,23-Feb,5,F
2008-02-24,24-Feb,5,F
2008-02-25,25-Feb,5,F
2008-02-26,26-Feb,5,F
2008-02-27,27-Feb,5,F
2008-02-28,28-Feb,5,F
2008-02-29,29-Feb,5,F
2008-03-01,1-Mar,5,F
2008-03-02,2-Mar,5,F
2008-03-03,3-Mar,5,F
2008-03-04,4-Mar,5,F
2008-03-05,5-Mar,5,F
2008-03-06,6-Mar,5,F
2008-03-07,7-Mar,5,F
2008-03-08,8-Mar,5,F
2008-03-09,9-Mar,5,F
2008-03-10,10-Mar,5,F
2008-03-11,11-Mar,5,F
2008-03-12,12-Mar,5,F
2008-03-13,13-Mar,5,F
2008-03-14,14-Mar,5,F
2008-03-15,15-Mar,5,F
2008-03-16,16-Mar,5,F
2008-03-17,17-Mar,5,F
2008-03-18,18-Mar,5,F
2008-03-19,19-Mar,5,F
2008-03-20,20-Mar,5,F
2008-03-21,21-Mar,5,F
2008-03-22,22-Mar,5,F
2008-03-23,23-Mar,5,F
2008-03-24,24-Mar,5,F
2008-03-25,25-Mar,5,F
2008-03-26,26-Mar,5,F
2008-03-27,27-Mar,5,F
2008-03-28,28-Mar,5,F
2008-03-29,29-Mar,5,F
2008-03-30,30-Mar,5,F
2008-03-31,31-Mar,5,F
2008-04-01,1-Apr,5,LF
2008-04-02,2-Apr,5,LF
2008-04-03,3-Apr,5,LF
2008-04-04,4-Apr,5,LF
2008-04-05,5-Apr,5,LF
2008-04-06,6-Apr,5,LF
2008-04-07,7-Apr,5,LF
2008-04-08,8-Apr,5,LF
2008-04-09,9-Apr,5,LF
2008-04-10,10-Apr,5,LF
2008-04-11,11-Apr,5,LF
2008-04-12,12-Apr,5,LF
2008-04-13,13-Apr,5,LF
2008-04-14,14-Apr,5,LF
2008-04-15,15-Apr,5,LF
2008-04-16,16-Apr,5,LF
2008-04-17,17-Apr,5,LF
2008-04-18,18-Apr,5,LF
2008-04-19,19-Apr,5,LF
2008-04-20,20-Apr,5,LF
2008-04-21,21-Apr,5,LF
2008-04-22,22-Apr,5,LF
2008-04-23,23-Apr,5,LF
2008-04-24,24-Apr,5,LF
2008-04-25,25-Apr,5,LF
2008-04-26,26-Apr,5,LF
2008-04-27,27-Apr,5,LF
2008-04-28,28-Apr,5,LF
2008-04-29,29-Apr,5,LF
2008-04-30,30-Apr,5,LF
2008-05-01,1-May,5,LF
2008-05-02,2-May,5,LF
2008-05-03,3-May,5,LF
2008-05-04,4-May,5,LF
2008-05-05,5-May,5,LF
2008-05-06,6-May,5,LF
2008-05-07,7-May,5,LF
2008-05-08,8-May,5,LF
2008-05-09,9-May,5,LF
2008-05-10,10-May,5,LF
2008-05-11,11-May,5,LF
2008-05-12,12-May,5,LF
2008-05-13,13-May,5,LF
2008-05-14,14-May,5,LF
2008-05-15,15-May,5,LF
2008-05-16,16-May,5,LF
2008-05-17,17-May,5,LF
2008-05-18,18-May,5,LF
2008-05-19,19-May,5,LF
2008-05-20,20-May,5,LF
2008-05-21,21-May,5,LF
2008-05-22,22-May,5,LF
2008-05-23,23-May,5,LF
2008-05-24,24-May,5,LF
2008-05-25,25-May,5,LF
2008-05-26,26-May,5,LF
2008-05-27,27-May,5,LF
2008-05-28,28-May,5,LF
2008-05-29,29-May,5,LF
2008-05-30,30-May,5,LF
2008-05-31,31-May,5,LF
2008-06-01,1-Jun,5,LF
2008-06-02,2-Jun,5,LF
2008-06-03,3-Jun,5,LF
2008-06-04,4-Jun,5,LF
2008-06-05,5-Jun,5,LF
2008-06-06,6-Jun,5,LF
2008-06-07,7-Jun,5,LF
2008-06-08,8-Jun,5,LF
2008-06-09,9-Jun,5,LF
2008-06-10,10-Jun,5,LF
2008-06-11,11-Jun,5,LF
2008-06-12,12-Jun,5,LF
2008-06-13,13-Jun,5,LF
2008-06-14,14-Jun,5,LF
2008-06-15,15-Jun,5,LF
2008-06-16,16-Jun,5,LF
2008-06-17,17-Jun,5,LF
2008-06-18,18-Jun,5,LF
2008-06-19,19-Jun,5,LF
2008-06-20,20-Jun,5,LF
